"Site","Watershed","ISCO Number","Record Type","Year","WY","Month","Day","Hour","Season","Julian Day","Running Day of Project","Ca flag","Ca","NMCa (ueq/L)","Mg flag","Mg","NMMg (ueq/L)","K flag","K (ueq/L)","NMK (ueq/L)","Na flag","Na (ueq/L)","NMNa (ueq/L)","Si flag","Si (mg/L)","NH4 flag","NH4 (ueq/L)","Al flag","Al","Al-Org flag","Al-Org (PPB)","Total N flag","Total N (ppm)","Cl flag","Cl (ueq/L)","SO4 flag","SO4 (ueq/L)","NMSO4 (ueq/L)","NO3 flag","NO3 (ueq/L)","DOC flag","DOC (mg/L)","DIC flag","DIC (mg/L)","ANC (ueq/L)","Closed-cell pH","Air-equilibrated pH","Specific Conductance (us/cm)","Q","Initial pH","H","HCO3 (ueq/L)","Unequilibrated pH (older samples)","Apparent color flag","Apparent Color (PCU)","True color flag","True color (PCU)","Total P flag","Total P (ppb)","Field Temp (degrees C)","Comment","SUVA","CaMg","H2","H3","WY_group","WY_group2"
"WB3","WB",NA,"REG",1986,1987,12,2,11,"WINTER",336,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,110,104,NA,12,NA,NA,NA,NA,"19","5.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,1,14,11,"WINTER",14,379,NA,89,86,NA,32,19,NA,4.6,3,NA,81,23,NA,1.9,"Half DL",1.4,NA,103,NA,58,NA,NA,NA,68,NA,108,101,NA,8,"<RL",0.6,"<RL",0.3,"27.1","5.9","6.25","24.7",NA,NA,0.56,6.36,NA,"<RL",0,"<RL",0,NA,NA,NA,NA,NA,121,0.3136,0.175616,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,1,14,11,"WINTER",14,379,NA,82,80,NA,34,20,NA,5.9,5,NA,86,23,NA,2.49,"Half DL",1.4,NA,47,NA,32,NA,NA,NA,73,NA,102,94,NA,8,"<DL",0,"<RL",0.4,"21.7","5.93","6.26","24.3",NA,NA,0.55,8.92,NA,"<RL",5,"<RL",5,NA,NA,NA,NA,NA,116,0.3025,0.166375,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,1,21,11,"WINTER",21,386,NA,95,92,NA,33,18,NA,5.1,4,NA,85,19,NA,1.99,"Half DL",1.4,NA,85,NA,59,NA,NA,NA,77,NA,109,101,NA,8,"<RL",0.8,"<RL",0.4,"27.4","6.09","6.15","24.9",NA,NA,0.71,11.5,NA,NA,15,NA,10,NA,NA,"0",NA,NA,128,0.5041,0.357911,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,1,21,9,"WINTER",21.38,386.38,NA,84,82,NA,35,20,NA,6.1,5,NA,89,24,NA,2.66,"Half DL",1.4,NA,49,NA,39,NA,NA,NA,75,NA,102,94,NA,8,"<RL",0.1,"<RL",0.4,"23.9","5.94","6.11","24.5",NA,NA,0.78,9.07,NA,"<RL",5,NA,10,NA,NA,"0.5",NA,NA,119,0.6084,0.474552,"1989","1989"
"EB3","EB",NA,"DUP",1987,1987,2,3,11,"WINTER",34.46,399.46,NA,98,95,NA,37,23,NA,5.1,4,NA,85,24,NA,1.95,"Half DL",1.4,NA,62,NA,37,NA,NA,NA,71,NA,109,102,NA,8.7,"<RL",0.7,NA,NA,"38.299999999999997","6.12","6.43","28.2",NA,NA,0.37,NA,NA,NA,8,NA,7,NA,NA,"0",NA,NA,135,0.1369,0.050653,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,2,3,11,"WINTER",34.46,399.46,NA,103,100,NA,35,21,NA,5.1,4,NA,84,22,NA,1.95,"Half DL",1.4,NA,64,NA,37,NA,NA,NA,72,NA,106,99,NA,8.5,"<RL",0.2,NA,NA,"36.1","6.2","6.53","28.9",NA,NA,0.3,NA,NA,NA,6,NA,6,NA,NA,"0",NA,NA,138,0.09,0.027,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,2,3,11,"WINTER",34.46,399.46,NA,90,87,NA,37,22,NA,6.4,5,NA,88,24,NA,2.54,"Half DL",1.4,NA,45,NA,29,NA,NA,NA,75,NA,98,90,NA,6.9,"<RL",0.2,NA,NA,"26.8","6.02","6.42","27.1",NA,NA,0.38,NA,NA,NA,6,NA,6,NA,NA,"0.7",NA,NA,127,0.1444,0.054872,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,2,17,11,"WINTER",48.46,413.46,NA,109,106,NA,39,24,NA,6.9,5,NA,97,33,NA,1.98,"Half DL",1.4,NA,52,NA,32,NA,NA,NA,75,NA,106,98,NA,7.6,NA,NA,NA,0.6,"43.1","6.27","6.53","28.3",NA,NA,0.3,22.2,NA,"<RL",4,"<RL",5,NA,NA,"0.5",NA,NA,148,0.09,0.027,"1989","1989"
"WB3","WB",NA,"DUP",1987,1987,2,17,12,"WINTER",48.5,413.5,NA,89,86,NA,39,24,NA,6.6,5,NA,89,26,NA,2.89,"Half DL",1.4,NA,38,NA,34,NA,NA,NA,73,NA,98,90,NA,8.7,NA,NA,NA,0.6,"34.4","6.06","6.42","25.6",NA,NA,0.38,16.5,NA,NA,7,NA,6,NA,NA,"0.5",NA,NA,128,0.1444,0.054872,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,2,17,12,"WINTER",48.5,413.5,NA,86,84,NA,36,22,NA,6.6,5,NA,93,30,NA,2.8,"Half DL",1.4,NA,40,NA,26,NA,NA,NA,73,NA,96,88,NA,8.7,NA,NA,NA,0.6,"31.3","6.04","6.52","25.9",NA,NA,0.3,16,NA,NA,6,NA,6,NA,NA,"0.5",NA,NA,122,0.09,0.027,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,3,4,12,"SPRING",63.5,428.5,NA,116,114,NA,38,24,NA,6.1,5,NA,91,30,NA,2.28,"Half DL",1.4,NA,38,NA,31,NA,NA,NA,72,NA,107,100,NA,5.4,NA,1.1,NA,0.6,"49.5","6.27","6.72","27.2",NA,NA,0.19,22.2,NA,"<RL",2,"<RL",2,NA,NA,"0.5",NA,NA,154,0.0361,0.006859,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,3,4,12,"SPRING",63.5,428.5,NA,88,85,NA,36,22,NA,6.4,5,NA,94,32,NA,3.04,"Half DL",1.4,NA,37,NA,27,NA,NA,NA,73,NA,95,87,NA,7.5,NA,1.3,NA,0.6,"30.6","6.09","6.43","24.5",NA,NA,0.37,17.3,NA,"<RL",3,"<RL",2,NA,NA,"0",NA,NA,124,0.1369,0.050653,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,3,10,11,"SPRING",69.46,434.46,NA,110,108,NA,35,22,NA,6.6,5,NA,90,32,NA,2.26,NA,NA,NA,33,NA,33,NA,NA,NA,68,NA,102,95,NA,5.3,NA,1.6,NA,0.8,"46.4","6.4","6.75","30",NA,NA,0.18,34.6,NA,"<RL",2,"<RL",2,NA,NA,"0.5",NA,NA,145,0.0324,0.005832,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,3,10,11,"SPRING",69.46,434.46,NA,90,88,NA,36,22,NA,6.1,5,NA,92,30,NA,3.16,NA,NA,NA,30,NA,28,NA,NA,NA,72,NA,93,86,NA,7.4,NA,1.2,NA,0.5,"29","6.17","6.58","27.4",NA,NA,0.26,16.2,NA,"<RL",3,"<RL",3,NA,NA,"0.5",NA,NA,126,0.0676,0.017576,"1989","1989"
"EB3","EB",NA,"DUP",1987,1987,3,18,13,"SPRING",77.54,442.54,NA,120,117,NA,38,24,NA,6.1,5,NA,92,31,NA,2.75,"Half DL",1.4,NA,54,NA,31,NA,NA,NA,71,NA,108,101,NA,4.3,NA,NA,NA,0.5,"54.4","6.37","6.82","27.6",NA,NA,0.15,20.9,NA,"<RL",1,"<RL",2,NA,NA,"1.5",NA,NA,158,0.0225,0.003375,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,3,18,13,"SPRING",77.54,442.54,NA,137,135,NA,37,23,NA,6.1,5,NA,92,30,NA,2.75,"Half DL",1.4,NA,54,NA,38,NA,NA,NA,72,NA,101,94,NA,5.1,NA,1.1,NA,0.5,"52.4","6.44","6.88","29.1",NA,NA,0.13,22.6,NA,"<RL",2,"<RL",4,NA,NA,"1.5",NA,NA,174,0.0169,0.002197,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,3,18,13,"SPRING",77.54,442.54,NA,90,88,NA,35,22,NA,6.4,5,NA,90,29,NA,3.08,"Half DL",1.4,NA,40,NA,36,NA,NA,NA,71,NA,95,88,NA,6.2,"<RL",0.9,NA,0.5,"36.200000000000003","6.18","6.74","23.3",NA,NA,0.18,16.4,NA,"<RL",0,"<RL",2,NA,NA,"1",NA,NA,125,0.0324,0.005832,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,3,23,15,"SPRING",82.6,447.6,NA,125,122,NA,39,21,NA,6.9,5,NA,96,18,NA,1.97,"Half DL",1.4,NA,45,NA,44,NA,NA,NA,90,NA,106,97,NA,10.5,NA,1.3,NA,0.5,"48.4","6.23","6.7","30.5",NA,NA,0.2,17.6,NA,"<RL",4,"<RL",1,NA,NA,"2",NA,NA,164,0.04,0.008,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,3,23,15,"SPRING",82.6,447.6,NA,103,99,NA,41,24,NA,7.7,6,NA,99,24,NA,2.66,"Half DL",1.4,NA,37,NA,28,NA,NA,NA,88,NA,95,86,NA,17.2,NA,1.2,NA,0.8,"37.9","5.97","6.65","27.8",NA,NA,0.22,19.1,NA,NA,6,"<RL",1,NA,NA,"2",NA,NA,144,0.0484,0.010648,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,3,25,11,"SPRING",84.46,449.46,NA,NA,NA,NA,30,17,NA,5.9,5,NA,80,21,NA,1.48,"Half DL",1.4,NA,88,NA,46,NA,NA,NA,68,NA,99,92,NA,13.2,NA,1.2,"<RL",0.2,"18.2","5.79","6.28","24.6",NA,NA,0.52,3.49,NA,"<RL",4,"<RL",2,NA,NA,"0.5",NA,NA,NA,0.2704,0.140608,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,3,25,12,"SPRING",84.5,449.5,NA,84,81,NA,35,21,NA,6.6,5,NA,79,20,NA,2.07,"Half DL",1.4,NA,38,NA,25,NA,NA,NA,69,NA,86,79,NA,13.9,NA,1.1,"<RL",0.4,"26.4","5.96","6.57","23.2",NA,NA,0.27,9.38,NA,"<RL",4,"<RL",3,NA,NA,"1",NA,NA,119,0.0729,0.019683,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,3,27,11,"SPRING",86.46,451.46,NA,88,85,NA,30,18,NA,5.9,5,NA,80,27,NA,1.45,"Half DL",1.4,NA,124,NA,74,NA,NA,NA,62,NA,97,91,NA,24.4,NA,1.5,NA,NA,"8.1999999999999993","5.39","5.6","25.6",NA,NA,2.51,NA,NA,NA,6,"<RL",2,NA,NA,"0.5",NA,NA,118,6.3001,15.813251,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,3,27,11,"SPRING",86.46,451.46,NA,98,95,NA,35,19,NA,7.4,6,NA,82,14,NA,1.64,"Half DL",1.4,NA,70,NA,48,NA,NA,NA,80,NA,99,91,NA,24.9,NA,1.3,"<RL",0.2,"13.5","5.76","5.91","26.8",NA,NA,1.23,3.3,NA,"<RL",1,"<RL",4,NA,NA,"0.5",NA,NA,133,1.5129,1.860867,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,3,29,10,"SPRING",88.42,453.42,NA,81,79,NA,28,16,NA,5.1,4,NA,75,20,NA,1.45,"Half DL",1.4,NA,160,NA,75,NA,NA,NA,64,NA,96,89,NA,21.5,NA,1.5,NA,NA,"5","5.58","5.54","23.7",NA,NA,2.88,NA,NA,"<RL",1,"<RL",1,NA,NA,"1",NA,NA,109,8.2944,23.887872,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,3,29,10,"SPRING",88.42,453.42,NA,96,94,NA,33,19,NA,6.6,5,NA,78,19,NA,1.67,"Half DL",1.4,NA,90,NA,49,NA,NA,NA,69,NA,100,93,NA,21.2,NA,1.2,"<RL",0.1,"13.4","5.76","6.02","23.7",NA,NA,0.95,1.65,NA,"<RL",1,NA,7,NA,NA,"2",NA,NA,129,0.9025,0.857375,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,1,13,"SPRING",91.54,456.54,NA,78,75,NA,29,12,NA,8.2,7,NA,73,1,NA,1.11,"Half DL",1.4,NA,313,NA,92,NA,NA,NA,84,NA,81,72,NA,25.9,NA,2.4,NA,NA,"-3.1","5.08","5.07","27.2",NA,NA,8.51,NA,NA,NA,8,"<RL",5,NA,NA,"1",NA,NA,107,72.4201,616.295051,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,1,14,"SPRING",91.58,456.58,NA,92,88,NA,35,17,NA,11.8,10,NA,80,4,NA,1.4,"Half DL",1.4,NA,309,NA,100,NA,NA,NA,89,NA,97,88,NA,28,NA,2.1,NA,NA,"4","5.19","5.13","29.4",NA,NA,7.41,NA,NA,"<RL",4,"<RL",2,NA,NA,"1",NA,NA,127,54.9081,406.869021,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,2,13,"SPRING",92.54,457.54,NA,79,76,NA,30,13,NA,7.7,6,NA,75,1,NA,1.24,"Half DL",1.4,NA,278,NA,90,NA,NA,NA,86,NA,84,75,NA,23.6,NA,2.1,NA,NA,"2.6","5.14","5.2","26.3",NA,NA,6.31,NA,NA,NA,6,"<RL",5,NA,NA,"1.5",NA,NA,109,39.8161,251.239591,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,2,13,"SPRING",92.54,457.54,NA,93,90,NA,34,16,NA,10.5,9,NA,81,2,NA,1.45,"Half DL",1.4,NA,241,NA,73,NA,NA,NA,92,NA,98,88,NA,26.5,NA,1.7,NA,NA,"0.1","5.25","5.23","29",NA,NA,5.89,NA,NA,"<RL",5,"<RL",3,NA,NA,"2.5",NA,NA,127,34.6921,204.336469,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,3,11,"SPRING",93.46,458.46,NA,83,80,NA,29,13,NA,6.6,5,NA,75,4,NA,1.8,"Half DL",1.4,NA,243,NA,121,NA,NA,NA,83,NA,87,78,NA,20.7,NA,1.8,NA,NA,"1.7","5.28","5.27","27",NA,NA,5.37,NA,NA,"<RL",5,"<RL",4,NA,NA,"2",NA,NA,112,28.8369,154.854153,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,3,11,"SPRING",93.46,458.46,NA,92,88,NA,35,17,NA,10.2,9,NA,82,6,NA,1.57,"Half DL",1.4,NA,195,NA,133,NA,NA,NA,89,NA,98,89,NA,22.9,NA,1.5,NA,NA,"2","5.42","5.39","29.2",NA,NA,4.07,NA,NA,"<RL",2,"<RL",2,NA,NA,"3",NA,NA,127,16.5649,67.419143,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,5,16,"SPRING",95.67,460.67,NA,87,84,NA,32,17,NA,8.2,7,NA,77,8,NA,1.42,"Half DL",1.4,NA,241,NA,118,NA,NA,NA,80,NA,97,89,NA,21,NA,1.6,NA,NA,"4.2","5.43","5.38","27",NA,NA,4.17,NA,NA,"<RL",3,"<RL",3,NA,NA,"2.5",NA,NA,119,17.3889,72.511713,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,5,17,"SPRING",95.71,460.71,NA,73,71,NA,27,13,NA,5.9,5,NA,71,8,NA,1.2,"Half DL",1.4,NA,214,NA,115,NA,NA,NA,73,NA,85,77,NA,15.7,NA,1.9,NA,NA,"4.4000000000000004","5.34","5.3","24.5",NA,NA,5.01,NA,NA,NA,6,NA,6,NA,NA,"2.5",NA,NA,100,25.1001,125.751501,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,6,15,"SPRING",96.6,461.6,NA,75,73,NA,25,10,NA,5.4,4,NA,68,5,NA,1.11,"Half DL",1.4,NA,283,NA,166,NA,NA,NA,73,NA,87,79,NA,15.1,NA,2.1,NA,NA,"-1.3","5.21","5.12","19.899999999999999",NA,NA,7.59,NA,NA,NA,6,NA,6,NA,NA,"2.5",NA,NA,100,57.6081,437.245479,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,6,15,"SPRING",96.6,461.6,NA,85,83,NA,30,16,NA,7.9,7,NA,70,7,NA,1.47,"Half DL",1.4,NA,188,NA,120,NA,NA,NA,73,NA,91,83,NA,22.5,NA,1.7,NA,NA,"6.4","5.42","5.38","20.399999999999999",NA,NA,4.17,NA,NA,"<RL",4,"<RL",4,NA,NA,"2.5",NA,NA,115,17.3889,72.511713,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,7,10,"SPRING",97.42,462.42,NA,84,82,NA,30,15,NA,7.7,6,NA,72,10,NA,1.39,"Half DL",1.4,NA,247,NA,120,NA,NA,NA,73,NA,97,89,NA,17.3,NA,1.6,NA,NA,"0.2","5.34","5.24","25.7",NA,NA,5.75,NA,NA,"<RL",5,NA,8,NA,NA,"1.5",NA,NA,114,33.0625,190.109375,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,7,11,"SPRING",97.46,462.46,NA,75,72,NA,26,12,NA,5.6,4,NA,67,8,NA,1.19,"Half DL",1.4,NA,235,NA,119,NA,NA,NA,69,NA,87,80,NA,13.4,NA,1.9,NA,NA,"-0.4","5.18","5.16","23.3",NA,NA,6.92,NA,NA,NA,8,NA,6,NA,NA,"1.5",NA,NA,101,47.8864,331.373888,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,8,11,"SPRING",98,463,NA,79,76,NA,26,13,NA,5.6,4,NA,70,10,NA,1.14,"Half DL",1.4,NA,229,NA,100,NA,NA,NA,70,NA,89,82,NA,15.4,NA,1.8,NA,NA,"2","5.38","5.51","23.9",NA,NA,3.09,NA,NA,"<RL",5,"<RL",4,NA,NA,"1.5",NA,NA,105,9.5481,29.503629,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,8,11,"SPRING",98.46,463.46,NA,87,85,NA,30,16,NA,7.7,6,NA,74,10,NA,1.51,"Half DL",1.4,NA,218,NA,95,NA,NA,NA,74,NA,99,91,NA,20.6,NA,1.4,NA,NA,"3.9","5.5","5.72","26",NA,NA,1.91,NA,NA,"<RL",3,"<RL",3,NA,NA,"2",NA,NA,117,3.6481,6.967871,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,9,11,"SPRING",99.46,464.46,NA,81,79,NA,27,13,NA,5.6,4,NA,70,9,NA,1.42,"Half DL",1.4,NA,220,NA,107,NA,NA,NA,72,NA,91,84,NA,11.5,NA,1.6,NA,NA,"3.7","5.41","5.46","23.8",NA,NA,3.47,NA,NA,"<RL",4,"<RL",1,NA,NA,"1.5",NA,NA,108,12.0409,41.781923,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,9,11,"SPRING",99.46,464.46,NA,92,89,NA,32,18,NA,7.4,6,NA,73,9,NA,1.64,"Half DL",1.4,NA,146,NA,78,NA,NA,NA,75,NA,97,89,NA,17.4,NA,1.3,NA,NA,"6.3","5.57","5.72","25.8",NA,NA,1.91,NA,NA,"<RL",1,"<RL",1,NA,NA,"1.5",NA,NA,124,3.6481,6.967871,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,10,11,"SPRING",100,465,NA,72,69,NA,28,14,NA,5.9,5,NA,71,11,NA,1.48,"Half DL",1.4,NA,182,NA,100,NA,NA,NA,70,NA,91,84,NA,10.3,NA,1.6,NA,NA,"5.3","5.48","5.48","24.4",NA,NA,3.31,NA,NA,"<RL",1,"<RL",2,NA,NA,"4",NA,NA,100,10.9561,36.264691,"1989","1989"
"WB3","WB",NA,"DUP",1987,1987,4,10,11,"SPRING",100,465,NA,80,77,NA,34,20,NA,7.9,7,NA,76,13,NA,1.95,"Half DL",1.4,NA,133,NA,70,NA,NA,NA,73,NA,97,89,NA,15.7,NA,NA,NA,NA,"6.1","5.63","5.7","25.7",NA,NA,2,NA,NA,"<RL",2,"<RL",1,NA,NA,"4.3",NA,NA,114,4,8,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,10,11,"SPRING",100,465,NA,81,79,NA,32,18,NA,7.9,7,NA,76,12,NA,1.74,"Half DL",1.4,NA,141,NA,79,NA,NA,NA,74,NA,97,89,NA,15.9,NA,1.4,NA,NA,"6","5.63","5.65","25.3",NA,NA,2.24,NA,NA,"<RL",1,"<RL",1,NA,NA,"4.3",NA,NA,113,5.0176,11.239424,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,14,10,"SPRING",104.4,469.42,NA,77,74,NA,29,15,NA,5.9,5,NA,74,14,NA,1.57,"Half DL",1.4,NA,148,NA,90,NA,NA,NA,69,NA,96,89,NA,7.3,NA,1.5,NA,NA,"5.4","5.58","5.6","23.7",NA,NA,2.51,NA,NA,"<RL",4,"<RL",2,NA,NA,"2.5",NA,NA,106,6.3001,15.813251,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,14,10,"SPRING",104.4,469.42,NA,83,80,NA,34,20,NA,7.9,7,NA,78,17,NA,2.09,"Half DL",1.4,NA,85,NA,53,NA,NA,NA,72,NA,97,90,NA,13.2,NA,1.3,NA,NA,"8.5","5.71","5.91","25.2",NA,NA,1.23,NA,NA,"<RL",5,"<RL",1,NA,NA,"2",NA,NA,117,1.5129,1.860867,"1989","1989"
"WB3","WB",NA,"REG",1987,1987,4,21,10,"SPRING",111.4,476.42,NA,86,83,NA,32,18,NA,8.2,7,NA,84,23,NA,2.15,"Half DL",1.4,NA,64,NA,45,NA,NA,NA,71,NA,102,95,NA,3.7,NA,1.3,NA,NA,"12.1","5.49","5.97","26.6",NA,NA,1.07,NA,NA,"<RL",2,"<RL",2,NA,NA,"4",NA,NA,118,1.1449,1.225043,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,21,11,"SPRING",111.5,476.46,NA,82,79,NA,28,13,NA,6.1,5,NA,80,14,NA,1.71,"Half DL",1.4,NA,115,NA,59,NA,NA,NA,76,NA,102,94,NA,8.1,NA,1.6,NA,NA,"19.399999999999999","5.68","5.82","25.7",NA,NA,1.51,NA,NA,"<RL",2,"<RL",2,NA,NA,"4",NA,NA,110,2.2801,3.442951,"1989","1989"
"EB3","EB",NA,"REG",1987,1987,4,28,10,"SPRING",118.4,483.42,NA,89,87,NA,30,16,NA,6.1,5,NA,84,22,NA,1.88,"Half DL",1.4,NA,105,NA,64,NA,NA,NA,72,NA,104,97,NA,2.3,NA,1.3,NA,NA,"19.399999999999999","5.86","6.21","24.9",NA,NA,0.62,NA,NA,"<RL",2,"<RL",2,NA,NA,"4.5",NA,NA,119,0.3844,0.238328,"1989","1989"
